"Município";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"220030 Alto Longá";-;-;-;-;-;-;-;-;14339;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14339
"220040 Altos";-;-;-;-;-;-;-;-;40605;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40605
"220045 Alvorada do Gurguéia";-;-;-;-;-;-;-;-;5445;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5445
"220050 Amarante";-;-;-;-;-;-;-;-;17604;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17604
"220060 Angical do Piauí";-;-;-;-;-;-;-;-;6783;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6783
"220070 Anísio de Abreu";-;-;-;-;-;-;-;-;9938;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9938
"220080 Antônio Almeida";-;-;-;-;-;-;-;-;3170;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3170
"220090 Aroazes";-;-;-;-;-;-;-;-;5827;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5827
"220095 Aroeiras do Itaim";-;-;-;-;-;-;-;-;2551;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2551
"220100 Arraial";-;-;-;-;-;-;-;-;4720;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4720
"220105 Assunção do Piauí";-;-;-;-;-;-;-;-;7863;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7863
"220110 Avelino Lopes";-;-;-;-;-;-;-;-;11326;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11326
"220115 Baixa Grande do Ribeiro";-;-;-;-;-;-;-;-;11671;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11671
"220117 Barra D'Alcântara";-;-;-;-;-;-;-;-;3952;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3952
"220120 Barras";-;-;-;-;-;-;-;-;47185;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47185
"220130 Barreiras do Piauí";-;-;-;-;-;-;-;-;3352;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3352
"220140 Barro Duro";-;-;-;-;-;-;-;-;7027;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7027
"220150 Batalha";-;-;-;-;-;-;-;-;26905;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26905
"220155 Bela Vista do Piauí";-;-;-;-;-;-;-;-;4030;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4030
"220157 Belém do Piauí";-;-;-;-;-;-;-;-;3587;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3587
"220160 Beneditinos";-;-;-;-;-;-;-;-;10473;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10473
"220170 Bertolínia";-;-;-;-;-;-;-;-;5507;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5507
"220173 Betânia do Piauí";-;-;-;-;-;-;-;-;6210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6210
"220177 Boa Hora";-;-;-;-;-;-;-;-;6815;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6815
"220180 Bocaina";-;-;-;-;-;-;-;-;4505;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4505
"220190 Bom Jesus";-;-;-;-;-;-;-;-;25387;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25387
"220191 Bom Princípio do Piauí";-;-;-;-;-;-;-;-;5651;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5651
"220192 Bonfim do Piauí";-;-;-;-;-;-;-;-;5685;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5685
"220194 Boqueirão do Piauí";-;-;-;-;-;-;-;-;6426;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6426
"220196 Brasileira";-;-;-;-;-;-;-;-;8347;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8347
"220198 Brejo do Piauí";-;-;-;-;-;-;-;-;3848;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3848
"220200 Buriti dos Lopes";-;-;-;-;-;-;-;-;19807;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19807
"220202 Buriti dos Montes";-;-;-;-;-;-;-;-;8264;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8264
"220205 Cabeceiras do Piauí";-;-;-;-;-;-;-;-;10630;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10630
"220207 Cajazeiras do Piauí";-;-;-;-;-;-;-;-;3573;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3573
"220208 Cajueiro da Praia";-;-;-;-;-;-;-;-;7674;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7674
"220209 Caldeirão Grande do Piauí";-;-;-;-;-;-;-;-;5781;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5781
"220210 Campinas do Piauí";-;-;-;-;-;-;-;-;5620;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5620
"220211 Campo Alegre do Fidalgo";-;-;-;-;-;-;-;-;5069;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5069
"220213 Campo Grande do Piauí";-;-;-;-;-;-;-;-;5965;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5965
"220217 Campo Largo do Piauí";-;-;-;-;-;-;-;-;7311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7311
"220220 Campo Maior";-;-;-;-;-;-;-;-;46893;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46893
"220225 Canavieira";-;-;-;-;-;-;-;-;3944;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3944
"220230 Canto do Buriti";-;-;-;-;-;-;-;-;21258;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21258
"220240 Capitão de Campos";-;-;-;-;-;-;-;-;11445;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11445
"220245 Capitão Gervásio Oliveira";-;-;-;-;-;-;-;-;4114;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4114
"220250 Caracol";-;-;-;-;-;-;-;-;10964;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10964
"220253 Caraúbas do Piauí";-;-;-;-;-;-;-;-;5890;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5890
"220255 Caridade do Piauí";-;-;-;-;-;-;-;-;5085;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5085
"220260 Castelo do Piauí";-;-;-;-;-;-;-;-;19715;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19715
"220265 Caxingó";-;-;-;-;-;-;-;-;5451;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5451
"220270 Cocal";-;-;-;-;-;-;-;-;27845;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27845
"220271 Cocal de Telha";-;-;-;-;-;-;-;-;4899;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4899
"220272 Cocal dos Alves";-;-;-;-;-;-;-;-;6168;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6168
"220273 Coivaras";-;-;-;-;-;-;-;-;4032;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4032
"220275 Colônia do Gurguéia";-;-;-;-;-;-;-;-;6516;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6516
"220277 Colônia do Piauí";-;-;-;-;-;-;-;-;7661;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7661
"220280 Conceição do Canindé";-;-;-;-;-;-;-;-;4807;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4807
"220285 Coronel José Dias";-;-;-;-;-;-;-;-;4685;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4685
"220290 Corrente";-;-;-;-;-;-;-;-;26709;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26709
"220300 Cristalândia do Piauí";-;-;-;-;-;-;-;-;8323;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8323
"220310 Cristino Castro";-;-;-;-;-;-;-;-;10444;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10444
"220320 Curimatá";-;-;-;-;-;-;-;-;11426;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11426
"220323 Currais";-;-;-;-;-;-;-;-;4968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4968
"220327 Curral Novo do Piauí";-;-;-;-;-;-;-;-;5367;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5367
"220325 Curralinhos";-;-;-;-;-;-;-;-;4459;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4459
"220330 Demerval Lobão";-;-;-;-;-;-;-;-;13840;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13840
"220335 Dirceu Arcoverde";-;-;-;-;-;-;-;-;7029;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7029
"220340 Dom Expedito Lopes";-;-;-;-;-;-;-;-;6922;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6922
"220345 Dom Inocêncio";-;-;-;-;-;-;-;-;9565;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9565
"220342 Domingos Mourão";-;-;-;-;-;-;-;-;4354;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4354
"220350 Elesbão Veloso";-;-;-;-;-;-;-;-;14575;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14575
"220360 Eliseu Martins";-;-;-;-;-;-;-;-;4930;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4930
"220370 Esperantina";-;-;-;-;-;-;-;-;39848;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39848
"220375 Fartura do Piauí";-;-;-;-;-;-;-;-;5319;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5319
"220380 Flores do Piauí";-;-;-;-;-;-;-;-;4462;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4462
"220385 Floresta do Piauí";-;-;-;-;-;-;-;-;2560;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2560
"220390 Floriano";-;-;-;-;-;-;-;-;60025;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60025
"220400 Francinópolis";-;-;-;-;-;-;-;-;5347;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5347
"220410 Francisco Ayres";-;-;-;-;-;-;-;-;4323;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4323
"220415 Francisco Macedo";-;-;-;-;-;-;-;-;3200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3200
"220420 Francisco Santos";-;-;-;-;-;-;-;-;9372;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9372
"220430 Fronteiras";-;-;-;-;-;-;-;-;11659;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11659
"220435 Geminiano";-;-;-;-;-;-;-;-;5460;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5460
"220440 Gilbués";-;-;-;-;-;-;-;-;10694;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10694
"220450 Guadalupe";-;-;-;-;-;-;-;-;10497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10497
"220455 Guaribas";-;-;-;-;-;-;-;-;4568;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4568
"220460 Hugo Napoleão";-;-;-;-;-;-;-;-;3879;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3879
"220465 Ilha Grande";-;-;-;-;-;-;-;-;9457;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9457
"220470 Inhuma";-;-;-;-;-;-;-;-;15319;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15319
"220480 Ipiranga do Piauí";-;-;-;-;-;-;-;-;9838;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9838
"220490 Isaías Coelho";-;-;-;-;-;-;-;-;8566;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8566
"220500 Itainópolis";-;-;-;-;-;-;-;-;11551;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11551
"220510 Itaueira";-;-;-;-;-;-;-;-;11028;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11028
"220515 Jacobina do Piauí";-;-;-;-;-;-;-;-;5729;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5729
"220520 Jaicós";-;-;-;-;-;-;-;-;19170;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19170
"220525 Jardim do Mulato";-;-;-;-;-;-;-;-;4513;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4513
"220527 Jatobá do Piauí";-;-;-;-;-;-;-;-;4875;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4875
"220530 Jerumenha";-;-;-;-;-;-;-;-;4447;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4447
"220535 João Costa";-;-;-;-;-;-;-;-;3005;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3005
"220540 Joaquim Pires";-;-;-;-;-;-;-;-;14376;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14376
"220545 Joca Marques";-;-;-;-;-;-;-;-;5466;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5466
"220550 José de Freitas";-;-;-;-;-;-;-;-;39336;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39336
"220551 Juazeiro do Piauí";-;-;-;-;-;-;-;-;5485;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5485
"220552 Júlio Borges";-;-;-;-;-;-;-;-;5640;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5640
"220553 Jurema";-;-;-;-;-;-;-;-;4777;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4777
"220555 Lagoa Alegre";-;-;-;-;-;-;-;-;8577;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8577
"220557 Lagoa de São Francisco";-;-;-;-;-;-;-;-;6777;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6777
"220556 Lagoa do Barro do Piauí";-;-;-;-;-;-;-;-;4656;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4656
"220558 Lagoa do Piauí";-;-;-;-;-;-;-;-;4075;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4075
"220559 Lagoa do Sítio";-;-;-;-;-;-;-;-;5198;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5198
"220554 Lagoinha do Piauí";-;-;-;-;-;-;-;-;2858;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2858
"220560 Landri Sales";-;-;-;-;-;-;-;-;5283;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5283
"220570 Luís Correia";-;-;-;-;-;-;-;-;30438;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30438
"220580 Luzilândia";-;-;-;-;-;-;-;-;25504;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25504
"220585 Madeiro";-;-;-;-;-;-;-;-;8342;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8342
"220590 Manoel Emídio";-;-;-;-;-;-;-;-;5351;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5351
"220595 Marcolândia";-;-;-;-;-;-;-;-;8543;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8543
"220600 Marcos Parente";-;-;-;-;-;-;-;-;4547;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4547
"220605 Massapê do Piauí";-;-;-;-;-;-;-;-;6449;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6449
"220610 Matias Olímpio";-;-;-;-;-;-;-;-;10958;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10958
"220620 Miguel Alves";-;-;-;-;-;-;-;-;33833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33833
"220630 Miguel Leão";-;-;-;-;-;-;-;-;1242;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1242
"220635 Milton Brandão";-;-;-;-;-;-;-;-;6608;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6608
"220640 Monsenhor Gil";-;-;-;-;-;-;-;-;10564;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10564
"220650 Monsenhor Hipólito";-;-;-;-;-;-;-;-;7767;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7767
"220660 Monte Alegre do Piauí";-;-;-;-;-;-;-;-;10615;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10615
"220665 Morro Cabeça no Tempo";-;-;-;-;-;-;-;-;4530;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4530
"220667 Morro do Chapéu do Piauí";-;-;-;-;-;-;-;-;6811;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6811
"220669 Murici dos Portelas";-;-;-;-;-;-;-;-;9209;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9209
"220670 Nazaré do Piauí";-;-;-;-;-;-;-;-;7322;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7322
"220672 Nazária";-;-;-;-;-;-;-;-;8602;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8602
"220675 Nossa Senhora de Nazaré";-;-;-;-;-;-;-;-;4891;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4891
"220680 Nossa Senhora dos Remédios";-;-;-;-;-;-;-;-;8723;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8723
"220795 Nova Santa Rita";-;-;-;-;-;-;-;-;4383;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4383
"220690 Novo Oriente do Piauí";-;-;-;-;-;-;-;-;6556;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6556
"220695 Novo Santo Antônio";-;-;-;-;-;-;-;-;3003;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3003
"220700 Oeiras";-;-;-;-;-;-;-;-;37085;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37085
"220710 Olho D'Água do Piauí";-;-;-;-;-;-;-;-;2468;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2468
"220720 Padre Marcos";-;-;-;-;-;-;-;-;6873;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6873
"220730 Paes Landim";-;-;-;-;-;-;-;-;4126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4126
"220735 Pajeú do Piauí";-;-;-;-;-;-;-;-;3404;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3404
"220740 Palmeira do Piauí";-;-;-;-;-;-;-;-;5036;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5036
"220750 Palmeirais";-;-;-;-;-;-;-;-;14587;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14587
"220755 Paquetá";-;-;-;-;-;-;-;-;3937;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3937
"220760 Parnaguá";-;-;-;-;-;-;-;-;10819;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10819
"220770 Parnaíba";-;-;-;-;-;-;-;-;153482;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;153482
"220775 Passagem Franca do Piauí";-;-;-;-;-;-;-;-;4323;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4323
"220777 Patos do Piauí";-;-;-;-;-;-;-;-;6406;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6406
"220779 Pau D'Arco do Piauí";-;-;-;-;-;-;-;-;4065;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4065
"220780 Paulistana";-;-;-;-;-;-;-;-;20554;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20554
"220785 Pavussu";-;-;-;-;-;-;-;-;3669;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3669
"220790 Pedro II";-;-;-;-;-;-;-;-;38778;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38778
"220793 Pedro Laurentino";-;-;-;-;-;-;-;-;2544;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2544
"220800 Picos";-;-;-;-;-;-;-;-;78431;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;78431
"220810 Pimenteiras";-;-;-;-;-;-;-;-;12139;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12139
"220820 Pio IX";-;-;-;-;-;-;-;-;18459;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18459
"220830 Piracuruca";-;-;-;-;-;-;-;-;28874;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28874
"220840 Piripiri";-;-;-;-;-;-;-;-;63787;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63787
"220850 Porto";-;-;-;-;-;-;-;-;12608;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12608
"220855 Porto Alegre do Piauí";-;-;-;-;-;-;-;-;2720;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2720
"220860 Prata do Piauí";-;-;-;-;-;-;-;-;3150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3150
"220865 Queimada Nova";-;-;-;-;-;-;-;-;9017;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9017
"220870 Redenção do Gurguéia";-;-;-;-;-;-;-;-;8796;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8796
"220880 Regeneração";-;-;-;-;-;-;-;-;17979;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17979
"220885 Riacho Frio";-;-;-;-;-;-;-;-;4309;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4309
"220887 Ribeira do Piauí";-;-;-;-;-;-;-;-;4488;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4488
"220890 Ribeiro Gonçalves";-;-;-;-;-;-;-;-;7376;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7376
"220900 Rio Grande do Piauí";-;-;-;-;-;-;-;-;6433;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6433
"220910 Santa Cruz do Piauí";-;-;-;-;-;-;-;-;6247;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6247
"220915 Santa Cruz dos Milagres";-;-;-;-;-;-;-;-;4033;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4033
"220920 Santa Filomena";-;-;-;-;-;-;-;-;6254;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6254
"220930 Santa Luz";-;-;-;-;-;-;-;-;5882;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5882
"220937 Santa Rosa do Piauí";-;-;-;-;-;-;-;-;5255;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5255
"220935 Santana do Piauí";-;-;-;-;-;-;-;-;4642;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4642
"220940 Santo Antônio de Lisboa";-;-;-;-;-;-;-;-;6441;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6441
"220945 Santo Antônio dos Milagres";-;-;-;-;-;-;-;-;2166;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2166
"220950 Santo Inácio do Piauí";-;-;-;-;-;-;-;-;3803;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3803
"220955 São Braz do Piauí";-;-;-;-;-;-;-;-;4451;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4451
"220960 São Félix do Piauí";-;-;-;-;-;-;-;-;2932;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2932
"220965 São Francisco de Assis do Piauí";-;-;-;-;-;-;-;-;5779;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5779
"220970 São Francisco do Piauí";-;-;-;-;-;-;-;-;6420;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6420
"220975 São Gonçalo do Gurguéia";-;-;-;-;-;-;-;-;3057;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3057
"220980 São Gonçalo do Piauí";-;-;-;-;-;-;-;-;5030;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5030
"220985 São João da Canabrava";-;-;-;-;-;-;-;-;4614;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4614
"220987 São João da Fronteira";-;-;-;-;-;-;-;-;6064;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6064
"220990 São João da Serra";-;-;-;-;-;-;-;-;6122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6122
"220995 São João da Varjota";-;-;-;-;-;-;-;-;4848;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4848
"220997 São João do Arraial";-;-;-;-;-;-;-;-;8038;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8038
"221000 São João do Piauí";-;-;-;-;-;-;-;-;20662;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20662
"221005 São José do Divino";-;-;-;-;-;-;-;-;5354;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5354
"221010 São José do Peixe";-;-;-;-;-;-;-;-;3741;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3741
"221020 São José do Piauí";-;-;-;-;-;-;-;-;6700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6700
"221030 São Julião";-;-;-;-;-;-;-;-;6371;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6371
